source_id,kind,url,revision_or_path,accessed_utc,bytes,sha256,other_digest,license_status
PAPER_DOI,publisher_record,https://doi.org/10.1145/3638529.3654073,FOGA 2023 paper,2026-08-07,,,,bibliographic record
PAPER_ARXIV,legal_repository_full_text,https://arxiv.org/pdf/2303.04611,arXiv:2303.04611v2,2026-08-07,3155276,df8a23e4d293f5205d54500ba6c696547e0ca576989b2634c17154ee95fdd254,,arXiv author manuscript
PAPER_INSTITUTIONAL,legal_repository_record,https://scholarlypublications.universiteitleiden.nl/access/item%3A4254683/download,Leiden repository item 4254683,2026-08-07,,,,institutional repository
UPSTREAM_REPO,author_code,https://github.com/FurongYe/GSEMO,fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380,2026-08-07,,,,no repository license found
CMAKE,author_code_member,https://github.com/FurongYe/GSEMO/blob/fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380/CMakeLists.txt,CMakeLists.txt,2026-08-07,451,58e1a243325d74cc059c13f250d0c6dd8a93fda8fd43e8d0a9a5f4ba034093c1,,no repository license found
MAIN_SOURCE,author_code_member,https://github.com/FurongYe/GSEMO/blob/fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380/src/main.cpp,src/main.cpp,2026-08-07,2073,3596742bf99c1c0c61979822177b92a54730877a78f347991f93a35e338fdfbf,,no repository license found
GSEMO_HEADER,author_code_member,https://github.com/FurongYe/GSEMO/blob/fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380/src/gsemo.hpp,src/gsemo.hpp,2026-08-07,24299,99cac16c1039e73b8d484a2b0a2b94f6d3940742f9be0ad2a40f37ecfadd8c39,,no repository license found
PROBLEM_SOURCE,author_code_member,https://github.com/FurongYe/GSEMO/blob/fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380/src/problems.cpp,src/problems.cpp,2026-08-07,5859,3621893220f1c51e4bb7aca0df5c640c06e81850b5e1d3801d4b509d88d5ea71,,no repository license found
PROBLEM_HEADER,author_code_member,https://github.com/FurongYe/GSEMO/blob/fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380/src/problems.hpp,src/problems.hpp,2026-08-07,564,ca8d18fcfa079ac7eec869e00e8ef4c0f32bbd1ea63756c1a1df552069f080cb,,no repository license found
NOTEBOOK,author_analysis_member,https://github.com/FurongYe/GSEMO/blob/fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380/figures.ipynb,figures.ipynb,2026-08-07,4111094,3cb25416e89ed12528a49c329f19d67dc6f9b6303cbf17c98e2770991ff6da78,,no repository license found
RUN_DRIVER,author_code_member,https://github.com/FurongYe/GSEMO/blob/fbe1d3ed3064dedd85ba3c5eaf78fe4ea3d6b380/run.py,run.py,2026-08-07,2005,848cd3ae5a7ce1e20ef430add8a91d556d100681a3d27035f86c95baa4685b46,,no repository license found
ZENODO_RECORD,author_data_record,https://zenodo.org/records/7880836,record 7880836,2026-08-07,,,,CC BY 4.0
ZENODO_CSV_ZIP,author_data_archive,https://zenodo.org/api/records/7880836/files/csv.zip/content,csv.zip,2026-08-07,173556521,2d5d3491c23e68bdd6d3c9c9dedfae67c805fa0588a3d443912c0b12c348fe4a,md5:a9970c46812e4cc986595704877bf160,CC BY 4.0
FOCUS_CSV_MEMBER,author_data_archive_member,https://zenodo.org/records/7880836,csv/om/TwoRateL10P1HVOneMaxD100.csv,2026-08-07,102227,75a7788105ac9b73f6f4a1baa2a84d5ffb0d13e736da70115319e9eb62eda154,crc32:6ca56598;compressed_bytes:25033,CC BY 4.0
HISTORICAL_ELF,diagnostic_historical_binary,https://github.com/FurongYe/GSEMO/blob/2d1fdfe59d20da71e26beee0d03e4d8d464bfbea/build/gsemo,git-blob:9fee9992434522ce6fec64edf27e7253062a570b,2026-08-07,21850120,e9bf0e6d91209e645ad568c11d830134d0e77fb6183a37c083fb2f00ae4c777d,,no repository license found; diagnostic only
