run_index,seed,independence_unit
0,0,one instance-method solver run
1,1,one instance-method solver run
2,2,one instance-method solver run
3,3,one instance-method solver run
4,4,one instance-method solver run
5,5,one instance-method solver run
6,6,one instance-method solver run
7,7,one instance-method solver run
8,8,one instance-method solver run
9,9,one instance-method solver run
10,10,one instance-method solver run
11,11,one instance-method solver run
12,12,one instance-method solver run
13,13,one instance-method solver run
14,14,one instance-method solver run
15,15,one instance-method solver run
16,16,one instance-method solver run
17,17,one instance-method solver run
18,18,one instance-method solver run
19,19,one instance-method solver run
