instance,bks,bks_optimal,published_best,published_mean,published_mean_best_time_seconds
C2000.5,145,false,149,150.7,3152
C2000.9,408,false,404,405.6,2988
C4000.5,259,false,279,280.8,3404
DSJC500.1,12,false,12,12.0,56
DSJC500.5,47,false,48,48.0,850
DSJC500.9,126,false,126,126.0,632
DSJC1000.1,20,false,20,20.9,2391
DSJC1000.5,82,false,83,83.5,2511
DSJC1000.9,222,false,223,223.8,1589
DSJR500.5,122,true,123,123.8,2289
flat300_28_0,28,true,28,30.4,5
flat1000_50_0,50,true,50,50.0,8
flat1000_60_0,60,true,60,60.0,29
flat1000_76_0,76,true,82,82.8,1969
latin_square_10,97,false,99,100.7,1729
le450_25c,25,true,25,25.3,1022
le450_25d,25,true,25,25.3,1537
queen11_11,11,true,12,12.0,0
queen12_12,12,true,13,13.0,1
queen13_13,13,true,14,14.0,1
queen14_14,14,true,15,15.0,16
r250.5,65,true,66,66.0,549
r1000.1c,98,false,100,101.6,1621
r1000.5,234,false,245,245.5,2009
wap01a,41,true,41,42.0,1958
wap02a,40,true,40,40.8,1634
wap03a,43,false,43,44.3,2387
wap04a,41,false,43,43.0,293
wap06a,40,true,40,40.0,246
wap07a,41,false,42,42.1,494
wap08a,40,true,41,41.9,2146
