source_id,kind,url,revision_or_path,accessed_utc,bytes,sha256,license_status
PAPER_DOI,publisher_record,https://doi.org/10.1007/978-3-031-57712-3_5,EvoCOP 2024 chapter,2026-08-07,,,bibliographic record
PAPER_PDF,legal_author_full_text,https://leria-info.univ-angers.fr/~jinkao.hao/papers/GrelieretalEvoCOP2024.pdf,author-hosted proof,2026-08-07,1454620,8bd64c258e9cc42b6dc1d4ce844e13aad489d26cd4ae255ce29f152f28ee70d6,author-distributed full text
PAPER_HAL,legal_repository_full_text,https://hal.science/hal-04457706/document,HAL hal-04457706,2026-08-07,,,HAL open repository
UPSTREAM_REPO,author_code,https://github.com/Cyril-Grelier/gcp_ahead,04da9dd489f6e8e76fa3504d105c137bdf9ea323,2026-08-07,,,MIT
UPSTREAM_LICENSE,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/LICENSE,LICENSE,2026-08-07,1062,c468a2bb37e376c19c25bd81ab821c9d9c6008f1db979c0507f99abac9071d67,MIT
DELETER_CONFIG,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/parameters/memetic/ahead_deleter.json,parameters/memetic/ahead_deleter.json,2026-08-07,1716,d9219513142c0adb7b85017353fbdf8e440b2ed7aa407f52a3ca5f5d27a8a283,MIT
ADAPTIVE_SOURCE,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/src/methods/adaptive.cpp,src/methods/adaptive.cpp,2026-08-07,14342,e5e75a7a94945d28fe8e1557efbd1e56aa7a93a147dd92f73f6d41a791f2c684,MIT
ADAPTIVE_HEADER,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/src/methods/adaptive.hpp,src/methods/adaptive.hpp,2026-08-07,6882,12336290e83026ad1f6ad84617f49c73d7a78d63145fe4c1db342b29c2f39228,MIT
MEMETIC_SOURCE,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/src/methods/MemeticAlgorithm.cpp,src/methods/MemeticAlgorithm.cpp,2026-08-07,18826,33ba8a004e4231221cf6f6a173bb6d7b8506434c87f0b68128eca4b29e72d079,MIT
PARSE_SOURCE,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/src/utils/parse.cpp,src/utils/parse.cpp,2026-08-07,12081,f9d1a26db14d33094ade566907f853abbf9cf3108d6f5cb7616659af5793c09a,MIT
MAIN_SOURCE,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/src/main.cpp,src/main.cpp,2026-08-07,12256,6829bc18f597340b2622970b6cdb49bddd825d9aed42b82b9c2f8b50bc17aab5,MIT
RNG_HEADER,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/src/utils/random_generator.hpp,src/utils/random_generator.hpp,2026-08-07,917,eb575e400c5df7392e5002faddc1f60922cfdd71cba62b40dac45b551317c198,MIT
