run,effective_seed,n,k,base_seed,profile
1,816114842,20,4,816114841,artifact_jump_optimized
2,816114843,20,4,816114841,artifact_jump_optimized
3,816114844,20,4,816114841,artifact_jump_optimized
4,816114845,20,4,816114841,artifact_jump_optimized
5,816114846,20,4,816114841,artifact_jump_optimized
6,816114847,20,4,816114841,artifact_jump_optimized
7,816114848,20,4,816114841,artifact_jump_optimized
8,816114849,20,4,816114841,artifact_jump_optimized
9,816114850,20,4,816114841,artifact_jump_optimized
10,816114851,20,4,816114841,artifact_jump_optimized
11,816114852,20,4,816114841,artifact_jump_optimized
12,816114853,20,4,816114841,artifact_jump_optimized
13,816114854,20,4,816114841,artifact_jump_optimized
14,816114855,20,4,816114841,artifact_jump_optimized
15,816114856,20,4,816114841,artifact_jump_optimized
16,816114857,20,4,816114841,artifact_jump_optimized
17,816114858,20,4,816114841,artifact_jump_optimized
18,816114859,20,4,816114841,artifact_jump_optimized
19,816114860,20,4,816114841,artifact_jump_optimized
20,816114861,20,4,816114841,artifact_jump_optimized
21,816114862,20,4,816114841,artifact_jump_optimized
22,816114863,20,4,816114841,artifact_jump_optimized
23,816114864,20,4,816114841,artifact_jump_optimized
24,816114865,20,4,816114841,artifact_jump_optimized
25,816114866,20,4,816114841,artifact_jump_optimized
26,816114867,20,4,816114841,artifact_jump_optimized
27,816114868,20,4,816114841,artifact_jump_optimized
28,816114869,20,4,816114841,artifact_jump_optimized
29,816114870,20,4,816114841,artifact_jump_optimized
30,816114871,20,4,816114841,artifact_jump_optimized
31,816114872,20,4,816114841,artifact_jump_optimized
32,816114873,20,4,816114841,artifact_jump_optimized
33,816114874,20,4,816114841,artifact_jump_optimized
34,816114875,20,4,816114841,artifact_jump_optimized
35,816114876,20,4,816114841,artifact_jump_optimized
36,816114877,20,4,816114841,artifact_jump_optimized
37,816114878,20,4,816114841,artifact_jump_optimized
38,816114879,20,4,816114841,artifact_jump_optimized
39,816114880,20,4,816114841,artifact_jump_optimized
40,816114881,20,4,816114841,artifact_jump_optimized
41,816114882,20,4,816114841,artifact_jump_optimized
