role,url,revision_or_identity,sha256,size_bytes,status
paper_pdf,https://mhevia.com/assets/pdf/journal_oplclga.pdf,DOI:10.1145/3564755,4ba0a96795ab7fe1c8d775489a41631ecca9f3b42e0ffbe5a0dc982ad1fa2221,4891151,PASS_BYTE_FREEZE
author_repository,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm,commit:49949a55208359ac93b7110afb23ed276bda158d;tree:a9d1a04fbbafbb114585ff7caf10bddc6381755a,,0,PASS_COMMIT_FREEZE_NO_ARCHIVAL_TAG
repository_readme,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/README.md,commit:49949a55208359ac93b7110afb23ed276bda158d,542db3cc40002aed7f44bb710855421563fd980d21eed24f616c75514d9879ba,1789,PASS_BYTE_FREEZE
license,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/LICENSE,commit:49949a55208359ac93b7110afb23ed276bda158d,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,PASS_GPL_3_0
algorithm_source,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/utils/journalalgorithms.py,commit:49949a55208359ac93b7110afb23ed276bda158d,845f1a196f58682de6b40f39e5495e00814f2921cbd4bbc744d169975c577192,81176,PASS_BYTE_FREEZE
experiment_driver,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/master.py,commit:49949a55208359ac93b7110afb23ed276bda158d,d1fb4f9e2c2c305936d2c078e2f40a43303e588f1a672d5de28c1dc8084ec71b,7849,PASS_BYTE_FREEZE
problem_source,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/utils/functions.py,commit:49949a55208359ac93b7110afb23ed276bda158d,0aabfa6d3dcd490f0b4be763f0fda2e098deaed78cd2fbc59d39b05a0cfa9b05,11928,PASS_BYTE_FREEZE
output_source,https://github.com/mariohevia/Parameter-Control-Mechanisms-Genetic-Algorithm/blob/49949a55208359ac93b7110afb23ed276bda158d/Python-code/utils/outputs.py,commit:49949a55208359ac93b7110afb23ed276bda158d,fb8d30d2e8291bca6742bc6e10ecdb8e72c21d6e1c5fad331bd4284a9dbac19d,1034,PASS_BYTE_FREEZE
processed_target,author-repository:processed-results/SA (1+(lambda,lambda)) GA Reset_Jump_n20_k4_lambda20_p1:20_c1_F1.5_extra-None,commit:49949a55208359ac93b7110afb23ed276bda158d,2dc530fa995c6980fd064f422b97e15db967aaee2ed5625be43b4fc5e10e21ab,48980,PASS_BYTE_FREEZE
raw_target,author-repository:Raw/results_20-09-28_08:20:44_Jump_n20_JA.OnePlusLambdaCommaLambdaSAResetJUMP_lambda20.txt,commit:49949a55208359ac93b7110afb23ed276bda158d,b2ac8c81efaf786823d49dcef26eeb20f0257ca7fe9e1e2394d02ca5e26dd9a6,48505,PASS_BYTE_FREEZE
results_workbook,author-repository:Results.ods,commit:49949a55208359ac93b7110afb23ed276bda158d,1d3b117c769662f7b47afda1e3c179cf189969f7b61ff257cf8ae77c70a62f05,41052,PASS_BYTE_FREEZE
