source_id,kind,url,revision_or_path,accessed_utc,bytes,sha256,secondary_checksum,license_status
PAPER_DOI,publisher_record,https://doi.org/10.1007/978-3-031-70068-2_17,PPSN 2024 chapter 17,2026-08-09,,,,bibliographic record
PAPER_ARXIV,legal_full_text,https://arxiv.org/pdf/2405.01226,arXiv:2405.01226v1,2026-08-09,1474257,3e2274f8e819e5eb7c268a4fe8f30f723241a8f1af424791cd1c2e50442ea78c,,arXiv-hosted
ZENODO_RECORD,paper_cited_artifact,https://zenodo.org/records/10997200,10.5281/zenodo.10997200,2026-08-09,,,,CC-BY-4.0
STATIC_CODE,zenodo_code_archive,https://zenodo.org/api/records/10997200/files/repelling_code.zip/content,repelling_code.zip no Git revision attributed,2026-08-09,24065992,4b3a99b4e3661f701276dc63426d14879ed6c2bb38563af67b7662bc83ec4a9b,md5:a4d4a132570f162c686123a46a78fc67,CC-BY-4.0 plus embedded MIT
RAW_ARCHIVE,zenodo_raw_data,https://zenodo.org/api/records/10997200/files/repelling.zip/content,repelling.zip range-only,2026-08-09,17573142426,,md5:5bf7f5e28ca5c6f26859c94c3eb1fcee declared not recomputed,CC-BY-4.0
OUTER_DIRECTORY,range_authenticated_structure,https://zenodo.org/api/records/10997200/files/repelling.zip/content,offset 17573135462 length 6866,2026-08-09,6866,de9e084a48c68eb9c565ce05b782ef199f7abe5b6ceae239a2b9b728ae6e7347,,CC-BY-4.0
NESTED_DIRECTORY,range_authenticated_structure,https://zenodo.org/api/records/10997200/files/repelling.zip/content,outer payload 410334575 plus nested offset 385042441 length 51011,2026-08-09,51011,53bdc3d6918143f159f8912f75915fadc87d1a4fe46f75b15af0c6bfe57ea855,,CC-BY-4.0
OUTER_MEMBER_HEADER,range_authenticated_structure,https://zenodo.org/api/records/10997200/files/repelling.zip/content,absolute offset 410334475 length 100,2026-08-09,100,fe8863dcb098fc7db1e79197d9057e49a4e970697746e3761170aa57d102a71f,,CC-BY-4.0
TARGET_MEMBER_HEADER,range_authenticated_structure,https://zenodo.org/api/records/10997200/files/repelling.zip/content,absolute offset 789247120 length 123,2026-08-09,123,bfe85301a1ab6db2ad151310338c81294f25f24af43d68a31d51718483a713ba,,CC-BY-4.0
TARGET_COMPRESSED,range_authenticated_member,https://zenodo.org/api/records/10997200/files/repelling.zip/content,absolute bytes 789247243-789669451 inclusive,2026-08-09,422209,97b33f647c6afd990bc368a8b0e60e98f6fc14781203f4fb6090ff503a2e8dfc,raw-deflate,CC-BY-4.0
TARGET_JSON,authenticated_raw_member,https://zenodo.org/api/records/10997200/files/repelling.zip/content,CMA-ES-BIPOP-repelling-c1000.0-elitist/IOHprofiler_f1_Sphere.json,2026-08-09,3113753,ee9cb8f7e11803263f21d15563daa266e379ea32a435a425f5228f8c74dc0f9a,crc32:63419fdd,CC-BY-4.0
PUBLIC_REPOSITORY,context_only_not_revision_source,https://github.com/IOHprofiler/ModularCMAES,no commit maps exactly to frozen archive,2026-08-09,,,,public history not used as source identity
