cycle,mode,nfev_start,nfev_end,nfev_delta,best_f_start,best_f_end,improvement,nfev_phase0,n_basins_phase0,phi_used,sampling_method,sample_reused
0,alt-0,0,49960,49960,inf,138.7076282341263,inf,4096,25,1.1490020177074536,sobol,false
1,alt-1,49960,143428,93468,138.7076282341263,101.47263506942203,37.23499316470428,0,5,1.1154715908615365,sobol,true
2,alt-0,143428,202460,59032,101.47263506942203,101.47263506942203,0.0,4096,25,1.1557703727813198,sobol,false
3,alt-1,202460,379942,177482,101.47263506942203,100.87297930914387,0.5996557602781536,0,5,1.2160479839298852,sobol,true
4,alt-0,379942,434882,54940,100.87297930914387,100.87297930914387,0.0,4096,25,1.15861340675918,sobol,false
5,alt-1,434882,614122,179240,100.87297930914387,100.87297930914387,0.0,0,5,1.2746839402555026,sobol,true
6,alt-0,614122,669182,55060,100.87297930914387,100.87297930914387,0.0,4096,25,1.1576440872431513,sobol,false
7,alt-1,669182,783849,114667,100.87297930914387,100.87297930914387,0.0,0,5,1.2078487072288386,sobol,true
8,alt-0,783849,838057,54208,100.87297930914387,100.87297930914387,0.0,4096,25,1.1564617339031997,sobol,false
9,alt-1,838057,976535,138478,100.87297930914387,100.87297930914387,0.0,0,5,1.25848140033444,sobol,true
10,alt-0,976535,1033575,57040,100.87297930914387,100.87297930914387,0.0,4096,25,1.1595972689103013,sobol,false
11,alt-1,1033575,1167782,134207,100.87297930914387,100.87297930914387,0.0,0,5,1.2404831136703351,sobol,true
12,alt-0,1167782,1222182,54400,100.87297930914387,100.87297930914387,0.0,4096,25,1.1605812540228317,sobol,false
13,alt-1,1222182,1222182,0,100.87297930914387,100.87297930914387,0.0,0,0,0.2990945633611796,sobol,true
14,alt-0,1222182,1274986,52804,100.87297930914387,100.87297930914387,0.0,4096,25,1.1576411858327686,sobol,false
15,alt-1,1274986,1431097,156111,100.87297930914387,100.87297930914387,0.0,0,5,1.1764215348608935,sobol,true
16,alt-0,1431097,1485377,54280,100.87297930914387,100.87297930914387,0.0,4096,25,1.175072422011,sobol,false
17,alt-1,1485377,1600153,114776,100.87297930914387,100.87297930914387,0.0,0,5,1.2618083661597796,sobol,true
18,alt-0,1600153,1656905,56752,100.87297930914387,100.87297930914387,0.0,4096,25,1.1391825322485865,sobol,false
19,alt-1,1656905,1899586,242681,100.87297930914387,100.87297930914387,0.0,0,5,1.1687363742252637,sobol,true
20,alt-0,1899586,1949594,50008,100.87297930914387,100.87297930914387,0.0,4096,25,1.1550959046629274,sobol,false
21,alt-1,1949594,2061296,111702,100.87297930914387,100.87297930914387,0.0,0,5,1.1640625502209643,sobol,true
22,alt-0,2061296,2115792,54496,100.87297930914387,100.87297930914387,0.0,4096,25,1.1695654760452614,sobol,false
23,alt-1,2115792,2309372,193580,100.87297930914387,100.87297930914387,0.0,0,5,1.2467970176020235,sobol,true
24,alt-0,2309372,2363844,54472,100.87297930914387,100.87297930914387,0.0,4096,25,1.1850192113073268,sobol,false
25,alt-1,2363844,2503798,139954,100.87297930914387,100.87297930914387,0.0,0,5,1.2267901557289165,sobol,true
26,alt-0,2503798,2557526,53728,100.87297930914387,100.87297930914387,0.0,4096,25,1.1513709308812181,sobol,false
27,alt-1,2557526,2718775,161249,100.87297930914387,100.87297930914387,0.0,0,5,1.2795392951976599,sobol,true
28,alt-0,2718775,2773055,54280,100.87297930914387,100.87297930914387,0.0,4096,25,1.1665598611764127,sobol,false
29,alt-1,2773055,2876679,103624,100.87297930914387,100.87297930914387,0.0,0,5,1.2394804208312475,sobol,true
