source_id,kind,url,revision_or_path,accessed_utc,bytes,sha256,git_blob,license_status
PAPER_DOI,publisher_record,https://doi.org/10.1016/j.inffus.2021.07.005,Information Fusion 78 (2022) 1-19,2026-08-09,,,,bibliographic record
PAPER_FULL_TEXT,institutional_open_full_text,http://hdl.handle.net/10396/22040,1-s2.0-S1566253521001469-main.pdf,2026-08-09,1429980,20868324adba7cbfadc004afa0624503ead29f4406701aca6f5650862cbdb517,,CC-BY-4.0
UPSTREAM_REPO,author_code_and_shipped_data,https://github.com/kdis-lab/G3P-kEMLC,a800162492ee8ccb4e20f692b879610cb607db07,2026-08-09,,,,GPL-3.0 code; dataset provenance unresolved
UPSTREAM_TREE,git_tree,https://github.com/kdis-lab/G3P-kEMLC/tree/a800162492ee8ccb4e20f692b879610cb607db07,8377a7be53e33bc6759cf079f22f30126dd50f83,2026-08-09,,,,GPL-3.0 code; dataset provenance unresolved
LICENSE,license_member,https://github.com/kdis-lab/G3P-kEMLC/blob/a800162492ee8ccb4e20f692b879610cb607db07/LICENSE.md,LICENSE.md,2026-08-09,35142,8646559c866597b7bf28d110cde63de18f6d97354bf22559053301bc3ca492c5,5dc6b429ba4a658bcd584331a5a38b20e6e3f3c3,GPL-3.0
ALG_JAVA,author_source,https://github.com/kdis-lab/G3P-kEMLC/blob/a800162492ee8ccb4e20f692b879610cb607db07/src/g3pkemlc/Alg.java,src/g3pkemlc/Alg.java,2026-08-09,18379,5581a346307475f090fde878fe5c089602bde6308adba7df0016a343b191b388,e37ae3d14bc618b385ced5b41ee55dc4052d800d,GPL-3.0
YEAST_CONFIG,author_configuration,https://github.com/kdis-lab/G3P-kEMLC/blob/a800162492ee8ccb4e20f692b879610cb607db07/cfg/Yeast.xml,cfg/Yeast.xml,2026-08-09,1341,92fe6df14a385e53b33556d1feb2607315545433fc1149a46d80fd2f6457b89e,61858a8c2f8c8ee89a2a08e942367659d776e7e1,GPL-3.0 code scope; input provenance unresolved
YEAST_LABELS,shipped_label_metadata,https://github.com/kdis-lab/G3P-kEMLC/blob/a800162492ee8ccb4e20f692b879610cb607db07/data/Yeast/Yeast.xml,data/Yeast/Yeast.xml,2026-08-09,429,f64cd9b47a1de803dc2d6f2dec8cf680a4926c231eabc985890777f53f9607af,16d3ce11b4b42b1de6972d2167c3c70f26f82e4a,dataset provenance unresolved
YEAST_TRAIN1,shipped_input,https://github.com/kdis-lab/G3P-kEMLC/blob/a800162492ee8ccb4e20f692b879610cb607db07/data/Yeast/Yeast-train1.arff,data/Yeast/Yeast-train1.arff,2026-08-09,1933647,2344d4357e4a062e21c85566f210fd6a9f80e7efbb802ef5718de1046dcd72da,c833810ae64baff112bff2d75d54527ceaaef9a9,dataset provenance unresolved
YEAST_TEST1,shipped_input,https://github.com/kdis-lab/G3P-kEMLC/blob/a800162492ee8ccb4e20f692b879610cb607db07/data/Yeast/Yeast-test1.arff,data/Yeast/Yeast-test1.arff,2026-08-09,485967,d91e0d98caf7244f1734206363cf819e3e23f1f456968706343bed2c2c25ec34,bd3b9866f9e6abeb9b4d40c1e2df72c173318955,dataset provenance unresolved
YEAST_TRAIN2,referenced_missing_input,https://github.com/kdis-lab/G3P-kEMLC/tree/a800162492ee8ccb4e20f692b879610cb607db07/data/Yeast,data/Yeast/Yeast-train2.arff,2026-08-09,,,,MISSING
YEAST_TEST2,referenced_missing_input,https://github.com/kdis-lab/G3P-kEMLC/tree/a800162492ee8ccb4e20f692b879610cb607db07/data/Yeast,data/Yeast/Yeast-test2.arff,2026-08-09,,,,MISSING
KDIS_DATA_PORTAL,dataset_provider_page,https://www.uco.es/kdis/mllresources/,Yeast data and partitions,2026-08-09,,,,no explicit dataset license found
