config_id,function,dimension,initial_std,generations,full_population,n_groups,eta_x,eta_sigma,tau,seed_ids
ackley-d002-s01,ackley,2,1,100,101,10,0.5,0.5,2.0,S00-S39
ackley-d002-s10,ackley,2,10,100,101,10,0.5,0.5,2.0,S00-S39
ackley-d030-s01,ackley,30,1,300,101,10,0.5,0.5,2.0,S00-S39
ackley-d030-s10,ackley,30,10,300,101,10,0.5,0.5,2.0,S00-S39
ackley-d100-s01,ackley,100,1,1000,101,10,0.5,0.5,2.0,S00-S39
ackley-d100-s10,ackley,100,10,1000,101,10,0.5,0.5,2.0,S00-S39
ackley-d1000-s01,ackley,1000,1,2500,101,10,0.5,0.5,2.0,S00-S39
ackley-d1000-s10,ackley,1000,10,2500,101,10,0.5,0.5,2.0,S00-S39
griewank-d002-s01,griewank,2,1,100,101,10,0.5,0.5,2.0,S00-S39
griewank-d002-s10,griewank,2,10,100,101,10,0.5,0.5,2.0,S00-S39
griewank-d030-s01,griewank,30,1,300,101,10,0.5,0.5,2.0,S00-S39
griewank-d030-s10,griewank,30,10,300,101,10,0.5,0.5,2.0,S00-S39
griewank-d100-s01,griewank,100,1,1000,101,10,0.5,0.5,2.0,S00-S39
griewank-d100-s10,griewank,100,10,1000,101,10,0.5,0.5,2.0,S00-S39
griewank-d1000-s01,griewank,1000,1,2500,101,10,0.5,0.5,2.0,S00-S39
griewank-d1000-s10,griewank,1000,10,2500,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d002-s01,rastrigin,2,1,100,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d002-s10,rastrigin,2,10,100,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d030-s01,rastrigin,30,1,300,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d030-s10,rastrigin,30,10,300,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d100-s01,rastrigin,100,1,1000,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d100-s10,rastrigin,100,10,1000,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d1000-s01,rastrigin,1000,1,2500,101,10,0.5,0.5,2.0,S00-S39
rastrigin-d1000-s10,rastrigin,1000,10,2500,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d002-s01,rosenbrock,2,1,100,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d002-s10,rosenbrock,2,10,100,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d030-s01,rosenbrock,30,1,300,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d030-s10,rosenbrock,30,10,300,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d100-s01,rosenbrock,100,1,1000,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d100-s10,rosenbrock,100,10,1000,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d1000-s01,rosenbrock,1000,1,2500,101,10,0.5,0.5,2.0,S00-S39
rosenbrock-d1000-s10,rosenbrock,1000,10,2500,101,10,0.5,0.5,2.0,S00-S39
sphere-d002-s01,sphere,2,1,100,101,10,0.5,0.5,2.0,S00-S39
sphere-d002-s10,sphere,2,10,100,101,10,0.5,0.5,2.0,S00-S39
sphere-d030-s01,sphere,30,1,300,101,10,0.5,0.5,2.0,S00-S39
sphere-d030-s10,sphere,30,10,300,101,10,0.5,0.5,2.0,S00-S39
sphere-d100-s01,sphere,100,1,1000,101,10,0.5,0.5,2.0,S00-S39
sphere-d100-s10,sphere,100,10,1000,101,10,0.5,0.5,2.0,S00-S39
sphere-d1000-s01,sphere,1000,1,2500,101,10,0.5,0.5,2.0,S00-S39
sphere-d1000-s10,sphere,1000,10,2500,101,10,0.5,0.5,2.0,S00-S39
