case_id	seed	sha256_v1
sphere-d30-s1-g300-seed00	0	62a110068de35477c9c691a6c3bed3ffe9b2a9d66a7bf029f079cd6faa9e1ec8
sphere-d30-s1-g300-seed01	1	5a608984f1931debd92fb5334f31b498b43115fce8881fd73446ee355b469b09
sphere-d30-s1-g300-seed02	2	8ec52c5c092f523c0bb0815bbc6c57d0f00c404e43b0ecc53d47c5f41c8b5474
sphere-d30-s1-g300-seed03	3	6c53b6c8eba81720fc2cbb17fd87442f2d57d619cf2251949abde56a08e85ae4
sphere-d30-s1-g300-seed04	4	156ba99822d61ca567c3f898ccb6a49894838735e0ed241ef38f56264c1c0fdb
sphere-d30-s1-g300-seed05	5	eb5e2243a4145d63a6979c22af4b5d1c111ef36e7b7db5bbec8ae9c66c1959e3
sphere-d30-s1-g300-seed06	6	4d1cd27429be457e86380a0586752caf33fd6fe423c1580e1044a8f18c13d99d
sphere-d30-s1-g300-seed07	7	64dc685e2248ac4ec97f96bee55ee40f9e4466d1cb4d39966f9f74f2173a2b88
sphere-d30-s1-g300-seed08	8	7130d68bdc223cb210bfccfc603c03fda79f1fbc8bfced7fb223b15b51df8d31
sphere-d30-s1-g300-seed09	9	0b2451e44745663506dd35e83bcaac48e76853c816055b0745cbc666f7fdcb4b
sphere-d30-s1-g300-seed10	10	0d010ea71b7ee5bb1fab0ce35b7615b47bf9d075a3d44567e9beea26293a5f20
sphere-d30-s1-g300-seed11	11	0e3306617b1df5be0b81ad408bcae2a61eeac26edf6027f55b4f19a9cf02509a
sphere-d30-s1-g300-seed12	12	7923c38dbe57f7a2415013d6392ef40315eb7cf55b93a6ae756794c0545cab2d
sphere-d30-s1-g300-seed13	13	8178cfb7d74f273b3c7fedda8b163d611efab54c5523337e1499cc0a02d635b6
sphere-d30-s1-g300-seed14	14	8b38a6b110df5e311f3c67f4da52f3cecd07f52009424dab9f3cb82e9122addd
sphere-d30-s1-g300-seed15	15	59c4644edeab91e6d2c6d25433588d56d1f64d6048c6c3a8419f753835d4f7f9
sphere-d30-s1-g300-seed16	16	054d887f4fc4c19833706c52743fc23569e0f2b298de96837d6aa60bd46fc157
sphere-d30-s1-g300-seed17	17	8b7ee985b50f77f7b55b0c0700c70c9cc3c69406262046cf097b6f3c31aff083
sphere-d30-s1-g300-seed18	18	f3a945965c9f6e421eddfca0610bb06725565988326eb9754c4c647b522e2659
sphere-d30-s1-g300-seed19	19	39d548d1e1507c2ab628d146f126ab5f7f9e88acbb850b662ce9925690a9ebdf
sphere-d30-s1-g300-seed20	20	d06323f4a2c95314e76acc12c8b6328f040d63703b3455d83035a3f42b511529
sphere-d30-s1-g300-seed21	21	0b043bc4f73c6db68e56e9d309134fdbdd24a268735cbe420f7514fd8fe818da
sphere-d30-s1-g300-seed22	22	5bc76de044fd50b98b73e85521c7193299a2b1616939e0bdeb9306316f057406
sphere-d30-s1-g300-seed23	23	e5e3f644ab4e909809c4403c0804e71111101d4b0a78d0d8526caa4123623c7a
sphere-d30-s1-g300-seed24	24	2833d9c94ed2edcc23ca8f8132f03e1e9c5cf307eea3dd4164857c56268e9637
sphere-d30-s1-g300-seed25	25	d920c6c680f770a79d2743209d66ce280b4b88a0a01cfed7d95ad5e20388da53
sphere-d30-s1-g300-seed26	26	b8327bbbfbec5783f2f708336f205ad070f3afe135be71bc4ac492d492c10315
sphere-d30-s1-g300-seed27	27	37ce6f142a9a2765de8e16e8d05c27401c37a117d04947cafebc60fe8c1f84c9
sphere-d30-s1-g300-seed28	28	e710979e4f2ae157a57e2b272aee968f01fee902e134ad4a9c67f0a72557af63
sphere-d30-s1-g300-seed29	29	3be1b030f18f9dcba66137d9d5d11a5265bce19600ca6ae98376a0db6ce41dae
sphere-d30-s1-g300-seed30	30	054ee9220835b8b25bc7257a799d3dc956d5657ecb32d37ce1d5e6543f6d9385
sphere-d30-s1-g300-seed31	31	5ab6428198830478479d0c2bbb38295d79fd18bedfc66deff53cd18e598748a6
sphere-d30-s1-g300-seed32	32	98e8e7068c22c8f31addeb917e16b4dcbd2897d92f94226b7e693eb2222734c9
sphere-d30-s1-g300-seed33	33	8304c72798d0e7205e21d486dba692b4c0f03ed7136b1ff5aafbc4e346f757af
sphere-d30-s1-g300-seed34	34	a8f7ffb6f5595c1eca3293b23145c43dd453a7a497a6b82201cbfbc927685044
sphere-d30-s1-g300-seed35	35	05fb0a4ac5da3dd67a963adf05774da56b9f85d5f3006b7656d37648ac05f559
sphere-d30-s1-g300-seed36	36	c87429f76bd62e3565bea80b19c3bc30ce15234c0e23d26ed1b002e3f9bd008f
sphere-d30-s1-g300-seed37	37	0e81b4fb4084bff5aced25b8e4432a20fe601d663f00a2f6b1c166ab69d28b09
sphere-d30-s1-g300-seed38	38	81fd43c73f44360e3efc7d8534b4dbabe0bc290513c4bff6f29f969896f1fb96
sphere-d30-s1-g300-seed39	39	897d0e08d4a50b198c579774c2a4c60c57d5ceeba4695cb32f930080f85e9a0f
