seed,best_fitness,elapsed_seconds,improvements
1,444.65374235012473,7.6613769850000004,87
2,443.50955819336417,8.4949880719999999,111
3,447.43352320989038,21.090960075000002,65
4,435.71543050061905,5.6530499550000002,75
5,444.65374235012473,7.7427091910000003,74
6,438.7494126346046,28.523673193,55
7,441.22903075413996,19.143400408000002,65
8,444.65374235012473,19.028477749,70
9,442.33170679521083,21.136019292,80
10,447.43352320989038,21.059562057000001,74
11,441.93428666165426,6.0538729340000001,79
12,439.30116907771514,7.2746547049999997,77
13,444.64478943079507,8.4093982930000006,84
14,444.64478943079507,9.076446851,91
15,428.65805492456082,16.320012941000002,99
16,444.65374235012473,16.964665242999999,86
17,435.71543050061905,16.883764918000001,91
18,444.65374235012473,15.916417211000001,60
19,437.72402170162616,5.5548836689999996,100
20,437.6709000368474,4.8946932250000001,93
21,438.74833118908907,3.9151426100000002,81
22,443.50955819336417,4.0993287690000004,90
23,444.65374235012473,3.831902838,71
24,444.65374235012473,6.653327805,68
25,444.65374235012473,8.3866073050000001,84
26,444.65374235012473,4.0233224920000001,79
27,438.74833118908907,4.9401859659999996,75
28,444.65374235012473,7.7626766910000002,62
29,444.64478943079507,5.5302616110000002,84
30,438.74833118908907,4.5398763769999997,67
