Run,OrderedEntry,VariableName,MatrixRow,MatrixColumn,RowEligibleOrder,IndependentOrder,VariableType,LowerBound,UpperBound,Dependency,RowSumEquation,InstanceSHA256
1,1,w_1_1,1,1,1,1,independent,0,1,,w_1_1 + w_1_14 + w_1_18 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,2,w_1_14,1,14,2,2,independent,0,1,,w_1_1 + w_1_14 + w_1_18 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,3,w_1_18,1,18,3,NaN,dependent-row-sum,0,1,1 - (w_1_1 + w_1_14),w_1_1 + w_1_14 + w_1_18 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,4,w_2_2,2,2,1,3,independent,0,1,,w_2_2 + w_2_3 + w_2_6 + w_2_7 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,5,w_2_3,2,3,2,4,independent,0,1,,w_2_2 + w_2_3 + w_2_6 + w_2_7 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,6,w_2_6,2,6,3,5,independent,0,1,,w_2_2 + w_2_3 + w_2_6 + w_2_7 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,7,w_2_7,2,7,4,NaN,dependent-row-sum,0,1,1 - (w_2_2 + w_2_3 + w_2_6),w_2_2 + w_2_3 + w_2_6 + w_2_7 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,8,w_3_2,3,2,1,6,independent,0,1,,w_3_2 + w_3_3 + w_3_6 + w_3_12 + w_3_14 + w_3_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,9,w_3_3,3,3,2,7,independent,0,1,,w_3_2 + w_3_3 + w_3_6 + w_3_12 + w_3_14 + w_3_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,10,w_3_6,3,6,3,8,independent,0,1,,w_3_2 + w_3_3 + w_3_6 + w_3_12 + w_3_14 + w_3_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,11,w_3_12,3,12,4,9,independent,0,1,,w_3_2 + w_3_3 + w_3_6 + w_3_12 + w_3_14 + w_3_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
