Run,DiagnosticProfile,Variant,DiagnosticOnly,DiagnosticLabel,Hypothesis,Role,CandidateID,BaseExperimentID,DiagnosticExperimentID,ProfileDefinitionSHA256,DiagnosticContractSHA256,ValidatedPrimaryToken,PrimaryFailureSHA256,ControlHorizonComparator,ReintroductionHorizonComparator,SelectionMode,ReintroductionIndexMode,BlendingMode,SurvivalMode,ObjectiveMode,CheckpointPlacement,MutationMode,UnsafeWholeRowMutationIncluded,InstanceSeed,PopulationSeed,AlgorithmSeed,AnalysisSeed,AllowedWeights,IndependentDecisionVariables,InstanceSHA256,InstanceSpecSHA256,DiagnosticImplementationSHA256,RunSignature,ReportedIteration,FirstPerfectGeneration,FinalObjective,FinalPaperObjective,FinalNormalizedObjective,Perfect,RecoveryRMSE,ElapsedSeconds,EvaluationCount,TerminationReason,FinalPb,FinalPc,FinalPm,FinalSigma,ArchiveIndex5BranchCount,SelectionGeneSwapAcceptedCount,SurvivalGeneSwapAcceptedCount,MaximumRowSumResidual,MinimumAllowedWeight,MaximumStructuralZeroAbs,InitialOperatorRNGStateSHA256,FinalOperatorRNGStateSHA256,FinalChromosomeSHA256,MATLABVersion,MATLABRelease,Computer,OSName,OSVersion,OSArchitecture,ProductInventoryJSON
1,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204501,202214501,202224501,202234500,82,62,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,fbefdbcccd16ae192270a2d433ca4a8e770828854dc75caf019e507a620407f2,1000,539,0,0,0,1,0.213779196152998,22.4494702,151442,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,0,15,1367,2.22044604925031e-16,0,0,b6122fd0d192df69fd17e8deccc8a2a61902fc447b298b40f8aae8f17e001476,dca5cd7f4fccec6dfc3078d8f1c0a6333f8f79307313f386c36d4f3f7ac8f137,98ff5b54c92288f29ec0ea4875651aee092bdb479dcf009ffb2c26bbeba7d57f,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
2,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204502,202214502,202224502,202234500,68,48,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,34f75f5fc285bd238e9dd7f5370a76428c1eae20610e6c3f86083391754be1fa,1000,783,0,0,0,1,0.162188371823647,23.2394824,152347,diagnostic_perfect_at_completed_checkpoint,0.5,0.02,0.02,0.1,0,18,1469,3.33066907387547e-16,0,0,d68021307b8fda903399e3a502895ca914d5ae4a49875a9995129b8a10aeb35e,9df50725fd149192dc79faf4194a2b33bbde93d189a4f8a828303ecbba864cb1,0c2d10e4425f75209942e56fa5f68453478034b00635f047c395d295feeb3ab4,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
3,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204503,202214503,202224503,202234500,66,46,5cb6739533b4d3cdfe4936f122621dda417e81e4ad24feae39eb4bc368b7acae,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,961d99e571e38bcd50a804794ebe63cc3c239744e8b47216cdf1e80342c32b42,1000,54,0,0,0,1,0.15880386612058,21.4072294,146964,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,0,10,1106,3.33066907387547e-16,0,0,e707274cbb4863d6185afe18545e68770f0d4d85a51da1ac6dc23fa9ca4cf502,ed1f7ed016c328eaa3155912f6fffc141c500733ea2a3341d407379bd02506d9,25937eb423e31f0b8e5657dff657335eaee09148282a569ddec9eaf7c9896d16,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
4,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204504,202214504,202224504,202234500,66,46,61907ccf2476319cc579af37c590667269cbc3d08ab34a4c34b183d265c2f672,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,6a5a87f45e5dac2fe0d62c23450ad74696ace6ab0fd2def23c48cf3093a41833,1000,518,0,0,0,1,0.149251322436058,21.2375172,152788,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.02,0,14,1454,3.33066907387547e-16,0,0,064acac546bf0bbad20b4948b13eaa87785b1cffa241a047235312de06e85daa,ada21ffd6cad5a1a8952267d61521e47a2018a1690f04dbfbe71b6618247be32,9169b8ae67116342673828e375d3f24e06bd4343c42a63efe8015b8ff21d5f27,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
5,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204505,202214505,202224505,202234500,70,50,e0ba7c086338b12d11ae465ff8bc0016fe8b6b0317f6655ddc5c6b1bee530463,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,c81ffa582b202f6e2ca6f61653b98206dd2d107133618a0d3d5f6e9319952a2d,1000,464,0,0,0,1,0.121137142898176,21.0474369,147693,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,0,10,1155,3.33066907387547e-16,0,0,1e8c53061cd9f5adaf73730f88d90fae47c41b67a944f5fe6ab3f3ee196b3280,9ff8d34f00685925d0019fc697d94126d8c8f26cc3c1b56ed34cb54a80354666,b5bb7a5d1e667d5e516746f782ab008b00bb6c159eb59365a1bd335049275f82,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
6,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204506,202214506,202224506,202234500,70,50,ad4c8fb6ceae17e7ecd4d1a942a66fb1d259533554f5a9756e62e2aeb8c6e4b6,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,4d408d8592a16ccdabf5139967c77674bca1a620f64e184893ba076e1bd08060,1000,118,0,0,0,1,0.161334683510186,20.5525735,147254,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,0,13,980,3.33066907387547e-16,0,0,df78b45692cf90ec986ab2e18d0e88ffef357501a9c5896bfc09cab100a1a701,3bf495a5c29748e036cbfc55617bd9081076aad1c4c933f1984e533587cb9201,c31501b525a6121244aca8f41447c97e741cd61d543b56ce87d6eacfd5b650d3,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
7,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204507,202214507,202224507,202234500,64,44,fed186a54d589e6b18f988c4c93eaf46cd1f5bd153546d7d8320b75de2345da3,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,dd221034924d2fec04c84d601b50903ae58f42f0fb58f2e4106d5f121576e311,1000,144,0,0,0,1,0.120816273466087,21.5832284,146407,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,0,14,1072,2.22044604925031e-16,0,0,46e62811880e49b73bf749c82f7827bfb8d278ded3fc5ff7f69aa2fb5ede332a,701f0bdd52fd73a5d2091ae6d88bd5419a342b7c7329e7e0e659c8ee3a4223c3,43f133b977e0c2133e60ad63ee0dfffdb0caa44c582df132c9fc27c73bc78eb2,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
8,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204508,202214508,202224508,202234500,74,54,0a7ae117ec7119d7ee58d76418e93c86a2ec0ee5499a7e9a8b59068725857b95,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,833ff47b16edb27e90358bdd5adcc0a82e9fcef3fb8236c3deb03f28c995d77d,100000,NaN,0.0554888537341592,0.0554888537341592,0.000554888537341592,0,0.140208152237321,1969.1825826,14311777,diagnostic_max_generations,0.5,0.01,0.01,0.01,0,12,7476,6.66133814775094e-16,0,0,1e054e9a102b16128a30a11ed3afd40218227dcb27c6459ef022264e52bd86ba,e0e175b4cb807695e803aee76c4ef83d0fc6df30597abca3a8530084d7276792,07453f724dda81cb378ad5dec08975c5eb9c7225ca0367c2973c69a4a75998d7,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
9,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204509,202214509,202224509,202234500,64,44,a40a9fd3e6ff813a538a6f3c259d2159f4a63d79327069ece5fee6b2e76a3dff,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,834662b7cc276e0382f04406a0ca68bbb65e6598c07ad9c8642b03124f90e737,1000,222,0,0,0,1,0.12547673993166,21.3614055,149103,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,0,12,1369,4.44089209850063e-16,0,0,5091c6dd3db3ebe98e490dafdb94d6b35ddfa5a3ec5491ed2e16a98b84b08415,349f68669ced55998ec557fe2ed6c4b201ce61021d99d11e33e11ad22549eafb,7729ca1e851febd70284f0714c1153a22e81cd2babefbe6d44ecbeb5335a81e0,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
10,Q1_STRICT_HORIZONS,Diagnostic_Q1_StrictHorizons,1,DIAGNOSTIC ONLY - Q1 strict control and reintroduction horizons,The released strict counter>horizon convention explains the primary miss.,failure-diagnostic,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,JC2022_N20_D2_T6_B10_C21_MMM_I200_Q1_STRICT_HORIZONS,282794b7782649d6c0e4485e16261197a6ce135d74359c2a070e64b8a7db72d8,d9c0e1f6f17b2d9b964b41b99f9b1c2250533682a0e91cc33a58baa2855bf38a,8cd76dbad8b9bc11a570d0c77be1bc9d063fd7caee8bf395350fc11a36671bdb,02f05a4b38a7b8a4b084722530f65443c1862e3d7a89a9f23b8d66d8f282a867,>,>,paper-global-multidonor,current-worst-nonelite,paper-simultaneous,paper-parent-wins-tie,paper-unnormalized,completed-generation,safe-row-constrained-gaussian,0,202204510,202214510,202224510,202234500,70,50,eb9243e6886b2f469daf61e5027dafaa79d3fbe80511e6fac76590359b8b5629,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,738259aa867a32fb64e16e9bc7e77401f343a49fd44ea5f4f293188d79c92f3f,dd2ece2e47ecfb85301199a90b820640501217c25d5feb80912bfb888c3e5407,1000,140,0,0,0,1,0.201664660767206,22.6278702,146456,diagnostic_perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,0,19,1043,3.33066907387547e-16,0,0,1d621913cac925af96152994e8b9c4c880e36814770c17230526af5840bd7828,6799ef1360005bd11c74f17e2718b46bb6c0906eaa0566b47ddd34b5313dfd09,4fc2be8a5948736d0032d8181a374d5944fdb1d7339b89bb925b102518b00fad,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
