"File","Length","SHA256"
"candidate_file_manifest.csv","24995","2add8ec03e683b3091a0151840adcd0ee39b3cb6749f07a3745a3503a645c1a0"
"Decision_Variables.csv","104940","bd357d8bfd11fe87d8a34813e7b92b48bf3b576e27da95de39af05807aa76ecc"
"diagnostic_harness_failures.md","3134","baabf78d194693d0cd5a77e61810ff0055b7e377ede504a9c89258b3cdda5fc9"
"experiment_specification.md","24811","8b3fb6d56e8549407554d92292cf1b277229014806f64cee9e6d3898830861b1"
"instance_manifest.csv","4421","c81cc42cbf60f3d4060a47312580f2c54660a0e4e8300c39302e38d9d92f6795"
"primary_Published_vs_Reproduced.csv","828","dfc0a603f4e3553bca77b30d47cfca64d74bbdc48170d0bd173c7c116af5778e"
"primary_Runs_Raw.csv","14469","027a97f895820539578675b17ac9ffa132d78a8bb654f5dbdf145038a2be1697"
"primary_verification.mat","3166","d156cd3bc86261fcc0070a4a505f9035c943b14277f97df4c4d03f43417bfbb6"
"published_sensitivity_rows.csv","2093","3353ef63fea27c7c89bad5107e56fc539371c85d704c036f71510f2ee32fdf33"
"published_target_rows.csv","1093","710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37"
"Q1_Diagnostic_Provenance.mat","4002","a9fcff7a0074224d4ea1b1584022df70b92ef1055da55b367c43a111e1d39b93"
"Q1_Published_vs_Diagnostic_Reproduced.csv","886","343bef84bc3a57b28669d368699ceabce3c8d3d976603b9ddae84dd997491c44"
"Q1_Runs_Raw_DIAGNOSTIC_ONLY.csv","19977","47e10c16b29285e7d4384f8946078650a73c57d46eac8dfcede8e89b4ed324eb"
"Q1_Summary_DIAGNOSTIC_ONLY.csv","503","76f60f6b28376b7e115e5c1117a17f15eeec4e7dead98ae8e7343fb0f9cc5e2e"
"Q2_Diagnostic_Provenance.mat","4019","6f850ba4b1f750fe225dccc4e73afd31a2b4743b8c678715f141fd19d98d760e"
"Q2_Published_vs_Diagnostic_Reproduced.csv","898","72582156c738f717591bd664061a7ccdf54127d148c310d58aad31711e7d4062"
"Q2_Runs_Raw_DIAGNOSTIC_ONLY.csv","20522","521fb27a9eda91b230a2aff8f9fcd12ffe32a503b743481cee20fd961a423e87"
"Q2_Summary_DIAGNOSTIC_ONLY.csv","496","87aa435cb222e60c5fe0a958f3c211d81ed5e6a2b4aec4dcc9225a8445b92290"
"Q3_Diagnostic_Provenance.mat","3996","a4744eef668c60de0b208815f3a1a1d774ac4e1c84605f69e3c245441b6c3937"
"Q3_Published_vs_Diagnostic_Reproduced.csv","886","0fa5c0cbb9220a6641d2ab18783c582a9f47e0adc53f34f24a11ebb44a13ab7a"
"Q3_Runs_Raw_DIAGNOSTIC_ONLY.csv","20122","3ea2258a789b3c028267599abf423f98b9b99f5047562c903f29cf893e86d729"
"Q3_Summary_DIAGNOSTIC_ONLY.csv","497","6f3bfa5bedae293a5c1240bcfb4fbc3ccdbced717b58922e59b20dfbd217018d"
"README.md","2396","6f3497590c01319f3aeb4480da7a9d97e1216271c1704ea4fe3a6dd51e1e5ca0"
"source_audit.md","26131","918f8df56f44b64bc94673af23532df5ed4e9b400f2b321c4ab121581d0309e7"
"source_manifest.md","20582","c6aa8dc18b464a3ef3791844354e9bb45249c0f97924763fdb953019c3a19a91"
