Run,InstanceSeed,PopulationSeed,AlgorithmSeed,NetworkAttempts,NetworkGenerator,MaxConnectivityAttempts,RealizedMeanDegree,SelfWeightBetaSampler,BetaAlpha,BetaBeta,GammaScale,AllowedWeights,IndependentDecisionVariables,InstanceFile,InstanceRelativePath,InstanceSHA256,InstanceSpecSHA256,Reused
1,202204501,202214501,202224501,11,undirected-gnp-upper-triangle-v1,10000,3.1,marsaglia-tsang-gamma-ratio-v1,2,2,1,82,62,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_01.mat,data/instances/instance_01.mat,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
2,202204502,202214502,202224502,15,undirected-gnp-upper-triangle-v1,10000,2.4,marsaglia-tsang-gamma-ratio-v1,2,2,1,68,48,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_02.mat,data/instances/instance_02.mat,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
3,202204503,202214503,202224503,5,undirected-gnp-upper-triangle-v1,10000,2.3,marsaglia-tsang-gamma-ratio-v1,2,2,1,66,46,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_03.mat,data/instances/instance_03.mat,5cb6739533b4d3cdfe4936f122621dda417e81e4ad24feae39eb4bc368b7acae,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
4,202204504,202214504,202224504,24,undirected-gnp-upper-triangle-v1,10000,2.3,marsaglia-tsang-gamma-ratio-v1,2,2,1,66,46,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_04.mat,data/instances/instance_04.mat,61907ccf2476319cc579af37c590667269cbc3d08ab34a4c34b183d265c2f672,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
5,202204505,202214505,202224505,17,undirected-gnp-upper-triangle-v1,10000,2.5,marsaglia-tsang-gamma-ratio-v1,2,2,1,70,50,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_05.mat,data/instances/instance_05.mat,e0ba7c086338b12d11ae465ff8bc0016fe8b6b0317f6655ddc5c6b1bee530463,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
6,202204506,202214506,202224506,8,undirected-gnp-upper-triangle-v1,10000,2.5,marsaglia-tsang-gamma-ratio-v1,2,2,1,70,50,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_06.mat,data/instances/instance_06.mat,ad4c8fb6ceae17e7ecd4d1a942a66fb1d259533554f5a9756e62e2aeb8c6e4b6,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
7,202204507,202214507,202224507,6,undirected-gnp-upper-triangle-v1,10000,2.2,marsaglia-tsang-gamma-ratio-v1,2,2,1,64,44,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_07.mat,data/instances/instance_07.mat,fed186a54d589e6b18f988c4c93eaf46cd1f5bd153546d7d8320b75de2345da3,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
8,202204508,202214508,202224508,5,undirected-gnp-upper-triangle-v1,10000,2.7,marsaglia-tsang-gamma-ratio-v1,2,2,1,74,54,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_08.mat,data/instances/instance_08.mat,0a7ae117ec7119d7ee58d76418e93c86a2ec0ee5499a7e9a8b59068725857b95,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
9,202204509,202214509,202224509,10,undirected-gnp-upper-triangle-v1,10000,2.2,marsaglia-tsang-gamma-ratio-v1,2,2,1,64,44,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_09.mat,data/instances/instance_09.mat,a40a9fd3e6ff813a538a6f3c259d2159f4a63d79327069ece5fee6b2e76a3dff,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
10,202204510,202214510,202224510,47,undirected-gnp-upper-triangle-v1,10000,2.5,marsaglia-tsang-gamma-ratio-v1,2,2,1,70,50,C:\Users\User\OneDrive\Документы\MATLAB\GA new version\candidate_02_degroot_adaptive_ga\data\instances\instance_10.mat,data/instances/instance_10.mat,eb9243e6886b2f469daf61e5027dafaa79d3fbe80511e6fac76590359b8b5629,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,0
