Run,Variant,Role,CandidateID,ExperimentID,FidelityMode,ObjectiveDefinition,SourceArchiveCommit,InstanceSeed,PopulationSeed,AlgorithmSeed,AnalysisSeed,AllowedWeights,IndependentDecisionVariables,InstanceSHA256,InstanceSpecSHA256,PublishedTargetSHA256,ImplementationSHA256,RunSignature,ReportedIteration,FirstPerfectGeneration,FinalObjective,FinalReleaseObjective,Perfect,RecoveryRMSE,ElapsedSeconds,EvaluationCount,TerminationReason,FinalPb,FinalPc,FinalPm,FinalSigma,SelectionGeneSwapAcceptedCount,SurvivalGeneSwapAcceptedCount,MaximumRowSumResidual,MinimumAllowedWeight,MaximumStructuralZeroAbs,InitialOperatorRNGStateSHA256,FinalOperatorRNGStateSHA256,FinalChromosomeSHA256,MATLABVersion,MATLABRelease,Computer,OSName,OSVersion,OSArchitecture,ProductInventoryJSON
1,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204501,202214501,202224501,202234500,82,62,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,72a6eb16dba70ff881826cb92e39a2e7abf56b0af6ab353fae944bf1c5a19af0,1000,675,0,0,1,0.204285021014089,20.5604429,152823,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,15,1363,3.33066907387547e-16,0,0,b6122fd0d192df69fd17e8deccc8a2a61902fc447b298b40f8aae8f17e001476,78ac04ca596aa0a2da004423f2a5b116f87545d63de363aec92c5b63d723957e,0c5d3bcbe9d57c003132e911f50fb2a0139912d8348288bcda518dd570fa1b16,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
2,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204502,202214502,202224502,202234500,68,48,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,8657942ed3465488243c7e5610b43810cbdea336215b97b6d3c71c6436013eaa,1000,783,0,0,1,0.162188371823647,24.473713,152358,perfect_at_completed_checkpoint,0.5,0.02,0.02,0.1,18,1484,3.33066907387547e-16,0,0,d68021307b8fda903399e3a502895ca914d5ae4a49875a9995129b8a10aeb35e,72ed75ea084ef3561f491cc11be04c14927f9ad4905901ffbf01308eca8082ad,0c2d10e4425f75209942e56fa5f68453478034b00635f047c395d295feeb3ab4,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
3,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204503,202214503,202224503,202234500,66,46,5cb6739533b4d3cdfe4936f122621dda417e81e4ad24feae39eb4bc368b7acae,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,5e853436a2214b2b80fe1c0ac759d6869b39773f0dee86728f4768ff103fecfe,1000,54,0,0,1,0.15880386612058,17.7333671,146946,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,10,1085,3.33066907387547e-16,0,0,e707274cbb4863d6185afe18545e68770f0d4d85a51da1ac6dc23fa9ca4cf502,d80c886757ddff2d78bea6bf8b8a98969dc3c28fcd4e3b9aa6beea796b76a24b,25937eb423e31f0b8e5657dff657335eaee09148282a569ddec9eaf7c9896d16,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
4,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204504,202214504,202224504,202234500,66,46,61907ccf2476319cc579af37c590667269cbc3d08ab34a4c34b183d265c2f672,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,bf748dfc8e6edbbe41b272b4a8a34580d45d4852d6a6386c219ca116cf86c756,1000,518,0,0,1,0.149251322436058,19.1972813,152702,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.02,14,1451,3.33066907387547e-16,0,0,064acac546bf0bbad20b4948b13eaa87785b1cffa241a047235312de06e85daa,030810058613034527f6d488708b8e032581c2f17833672dd3f4e7a1173bc655,9169b8ae67116342673828e375d3f24e06bd4343c42a63efe8015b8ff21d5f27,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
5,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204505,202214505,202224505,202234500,70,50,e0ba7c086338b12d11ae465ff8bc0016fe8b6b0317f6655ddc5c6b1bee530463,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,ed6a418e17ae4aa0225ef9e06e437c0c675daf8c853e8f0671c5403ed769314e,1000,495,0,0,1,0.110675497258121,19.2459976,147682,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,10,1126,3.33066907387547e-16,0,0,1e8c53061cd9f5adaf73730f88d90fae47c41b67a944f5fe6ab3f3ee196b3280,4521889785276392a87441d4bcc928b11eda188822d1816c23b83b0948f97299,f51e3bc8f269e195b3aa8c96f42f581a6384700bf6a6a8aadf66ae5a5bc7e89a,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
6,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204506,202214506,202224506,202234500,70,50,ad4c8fb6ceae17e7ecd4d1a942a66fb1d259533554f5a9756e62e2aeb8c6e4b6,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,30379928d8e0085919757469292c03ca3db9a72044d84d07b4228d0581e0dc48,1000,118,0,0,1,0.161334683510186,17.6683155,147032,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,13,962,2.22044604925031e-16,0,0,df78b45692cf90ec986ab2e18d0e88ffef357501a9c5896bfc09cab100a1a701,3bf495a5c29748e036cbfc55617bd9081076aad1c4c933f1984e533587cb9201,c31501b525a6121244aca8f41447c97e741cd61d543b56ce87d6eacfd5b650d3,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
7,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204507,202214507,202224507,202234500,64,44,fed186a54d589e6b18f988c4c93eaf46cd1f5bd153546d7d8320b75de2345da3,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,6b3c2fd0edada3bf759f69d66a2769a2391d9e7176a1266e561ac411ef87bb88,1000,144,0,0,1,0.120816273466087,17.9144432,146416,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,14,1076,2.22044604925031e-16,0,0,46e62811880e49b73bf749c82f7827bfb8d278ded3fc5ff7f69aa2fb5ede332a,2f3c664af6dc6a2bf6804a8f0f7325ba8d129ced197c2044e1a9bf3f51c11173,43f133b977e0c2133e60ad63ee0dfffdb0caa44c582df132c9fc27c73bc78eb2,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
8,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204508,202214508,202224508,202234500,74,54,0a7ae117ec7119d7ee58d76418e93c86a2ec0ee5499a7e9a8b59068725857b95,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,b82fb337e5d032bbdd76f9f341577a0c10c9dbacfa435d9cae908c7b03166cf4,100000,NaN,0.0546230331460566,0.000546230331460566,0,0.140724169457518,1666.1327309,14314290,max_generations,0.5,0.01,0.01,0.01,12,10067,6.66133814775094e-16,0,0,1e054e9a102b16128a30a11ed3afd40218227dcb27c6459ef022264e52bd86ba,567b6d78c8a768dc22db9dbae03e1c0ea862097e13aed4b08180b67a63b2f705,9848614b8955acf75557b8661d38cb64b6de7c8446c3b8012847b8de106409d4,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
9,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204509,202214509,202224509,202234500,64,44,a40a9fd3e6ff813a538a6f3c259d2159f4a63d79327069ece5fee6b2e76a3dff,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,cac7d9394be48823d1d848833b7be3245d8fce363ae3060077ca3c08a73c6bb9,1000,222,0,0,1,0.12547673993166,16.7856211,148830,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,12,1385,4.44089209850063e-16,0,0,5091c6dd3db3ebe98e490dafdb94d6b35ddfa5a3ec5491ed2e16a98b84b08415,349f68669ced55998ec557fe2ed6c4b201ce61021d99d11e33e11ad22549eafb,7729ca1e851febd70284f0714c1153a22e81cd2babefbe6d44ecbeb5335a81e0,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
10,AdaptiveFull,primary,USA-001,JC2022_N20_D2_T6_B10_C21_MMM_I200,paper-faithful,Johnson-Carnegie Equation 2a (unnormalized),2c33060320f722e6bb737b607cf0b27a9aa4256c,202204510,202214510,202224510,202234500,70,50,eb9243e6886b2f469daf61e5027dafaa79d3fbe80511e6fac76590359b8b5629,ae6c4d2283db1ca44c2c31d31699b53f262617e0f5b34e87651beddb0387cb7d,710feb1ae22f2c7baf27ac0092b60662ac49cae53f59f3ddf2a92ecff08bad37,76b72209a5acf06ab5f59fe43bec4cba8b52264afa4d9f4d27d40e5491575eba,bab9983fb8b63504836df74b9653baacc8e4bf43f3b1aff83095ab793747a6cf,1000,140,0,0,1,0.201664660767206,16.6285563,146457,perfect_at_completed_checkpoint,0.5,0.01,0.01,0.01,19,1045,3.33066907387547e-16,0,0,1d621913cac925af96152994e8b9c4c880e36814770c17230526af5840bd7828,6799ef1360005bd11c74f17e2718b46bb6c0906eaa0566b47ddd34b5313dfd09,4fc2be8a5948736d0032d8181a374d5944fdb1d7339b89bb925b102518b00fad,26.1.0.3312084 (R2026a) Update 4,2026a,PCWIN64,Windows 10,10.0,amd64,"[{""name"":""Global Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""MATLAB"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Optimization Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Parallel Computing Toolbox"",""version"":""26.1"",""release"":""(R2026a)""},{""name"":""Statistics and Machine Learning Toolbox"",""version"":""26.1"",""release"":""(R2026a)""}]"
