"","Run","Size","Ordinal","Degree","TimeSteps","Chromosomes","ProbSigma","MinMax","Factors","Iter","Time","Objective","Iteration","Recovery"
"212201",1,20,10,2,6,21,"Medium","Moderate","Moderate",1000,14.848081925,0,2000,0.165751205238177
"212202",2,20,10,2,6,21,"Medium","Moderate","Moderate",1000,14.442615902,0,2000,0.138793676993483
"212203",3,20,10,2,6,21,"Medium","Moderate","Moderate",1000,15.264008008,0,2000,0.146764538712987
"212204",4,20,10,2,6,21,"Medium","Moderate","Moderate",1000,7.772816447,0,1000,0.185312667720628
"212205",5,20,10,2,6,21,"Medium","Moderate","Moderate",1000,16.011750399,0,2000,0.160103218589409
"212206",6,20,10,2,6,21,"Medium","Moderate","Moderate",1000,14.742505388,0,2000,0.126237249939881
"212207",7,20,10,2,6,21,"Medium","Moderate","Moderate",1000,6.803529278,0,1000,0.186513512004184
"212208",8,20,10,2,6,21,"Medium","Moderate","Moderate",1000,3.288812781,0,1000,0.177488747535073
"212209",9,20,10,2,6,21,"Medium","Moderate","Moderate",1000,3.425305113,0,1000,0.189246272132083
"212210",10,20,10,2,6,21,"Medium","Moderate","Moderate",1000,7.414488872,0,2000,0.152758969221949
"358001",1,20,10,2,6,21,"Medium","Moderate","Moderate",5000,12.953281909,0,2000,0.1727742331187
"358002",2,20,10,2,6,21,"Medium","Moderate","Moderate",5000,13.394066324,0,2000,0.174576423379083
"358003",3,20,10,2,6,21,"Medium","Moderate","Moderate",5000,20.388174832,0,3000,0.169693888619127
"358004",4,20,10,2,6,21,"Medium","Moderate","Moderate",5000,13.61397894,0,2000,0.184836497129377
"358005",5,20,10,2,6,21,"Medium","Moderate","Moderate",5000,20.014340436,0,3000,0.129005204422982
"358006",6,20,10,2,6,21,"Medium","Moderate","Moderate",5000,13.796101469,0,2000,0.108983807812352
"358007",7,20,10,2,6,21,"Medium","Moderate","Moderate",5000,6.85771067,0,1000,0.170503447144847
"358008",8,20,10,2,6,21,"Medium","Moderate","Moderate",5000,13.915593573,0,2000,0.157492847070387
"358009",9,20,10,2,6,21,"Medium","Moderate","Moderate",5000,13.935668076,0,2000,0.181529572152725
"358010",10,20,10,2,6,21,"Medium","Moderate","Moderate",5000,13.928938746,0,2000,0.118896734298086
