"","Run","Size","Ordinal","Degree","TimeSteps","Chromosomes","ProbSigma","MinMax","Factors","Iter","Time","Objective","Iteration","Recovery"
"66401",1,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.663482116,0,1000,0.134136098596866
"66402",2,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.695114347,0,1000,0.144732676637536
"66403",3,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.835917038,0,1000,0.111817214977136
"66404",4,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.617216724,0,1000,0.186048183476261
"66405",5,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.647215932,0,1000,0.123039168376503
"66406",6,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.706485776,0,1000,0.0936160787647205
"66407",7,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.817585217,0,1000,0.131955367840855
"66408",8,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.721172115,0,1000,0.142370305519169
"66409",9,20,10,2,6,21,"Medium","Moderate","Moderate",200,3.646736808,0,1000,0.120454841816024
"66410",10,20,10,2,6,21,"Medium","Moderate","Moderate",200,7.258819332,0,2000,0.159262193065063
